file,var_name,var_label,matched_by
cfps2016famecon_201807.dta,fl801,种畜鱼苗费（元）,name_hint
cfps2016famecon_201807.dta,fl802,雇工费（元）,name_hint
cfps2016famecon_201807.dta,fl803,机器租赁费（元）,name_hint
cfps2016famecon_201807.dta,fl804,饲料费（元）,name_hint
cfps2016famecon_201807.dta,fl805,牲畜水产的其他花费（元）,name_hint
cfps2016famecon_201807.dta,fl9,您家农副产品总值（元）,name_hint
cfps2016famecon_201807.dta,foperate_1,经营性收入,name_hint
cfps2016famecon_201807.dta,foperate_2,经营性收入（与2010年可比）,name_hint
cfps2018famecon_202101.dta,finc,过去12个月总收入（元）,name_hint
cfps2018famecon_202101.dta,finc1,总收入调整（元/年）,name_hint
cfps2018famecon_202101.dta,fixed_asset,生产性固定资产（元）,name_hint
cfps2018famecon_202101.dta,fl10,自家农副产品消费总值（元）,name_hint
cfps2018famecon_202101.dta,fl3,是否从事种植业林业,name_hint
cfps2018famecon_202101.dta,fl501,种子化肥农药费（元）,name_hint
cfps2018famecon_202101.dta,fl502,雇工费（元）,name_hint
cfps2018famecon_202101.dta,fl503,机器租赁费（元）,name_hint
cfps2018famecon_202101.dta,fl504,灌溉费（元）,name_hint
cfps2018famecon_202101.dta,fl505,其他费用成本（元）,name_hint
cfps2018famecon_202101.dta,fl6,是否养过牲畜或水产品,name_hint
cfps2018famecon_202101.dta,fl801,种畜鱼苗费（元）,name_hint
cfps2018famecon_202101.dta,fl802,雇工费（元）,name_hint
cfps2018famecon_202101.dta,fl803,机器租赁费（元）,name_hint
cfps2018famecon_202101.dta,fl804,饲料费（元）,name_hint
cfps2018famecon_202101.dta,fl805,牲畜水产的其他花费（元）,name_hint
cfps2018famecon_202101.dta,fl9,您家农副产品总值（元）,name_hint
cfps2018famecon_202101.dta,foperate_1,经营性收入,name_hint
cfps2018famecon_202101.dta,foperate_2,经营性收入（与2010年可比）,name_hint
cfps2020famecon_202306.dta,finc,过去12个月总收入（元）,name_hint
cfps2020famecon_202306.dta,finc1,总收入调整（元/年）,name_hint
cfps2020famecon_202306.dta,fixed_asset,生产性固定资产,name_hint
cfps2020famecon_202306.dta,fl10,自家农副产品消费总值（元）,name_hint
cfps2020famecon_202306.dta,fl3,是否从事种植业林业,name_hint
cfps2020famecon_202306.dta,fl501,种子化肥农药费（元）,name_hint
cfps2020famecon_202306.dta,fl502,雇工费（元）,name_hint
cfps2020famecon_202306.dta,fl503,机器租赁费（元）,name_hint
cfps2020famecon_202306.dta,fl504,灌溉费（元）,name_hint
cfps2020famecon_202306.dta,fl505,其他费用成本（元）,name_hint
cfps2020famecon_202306.dta,fl6,是否养过牲畜或水产品,name_hint
cfps2020famecon_202306.dta,fl801,种畜鱼苗费（元）,name_hint
cfps2020famecon_202306.dta,fl802,雇工费（元）,name_hint
cfps2020famecon_202306.dta,fl803,机器租赁费（元）,name_hint
cfps2020famecon_202306.dta,fl804,饲料费（元）,name_hint
cfps2020famecon_202306.dta,fl805,牲畜水产的其他花费（元）,name_hint
cfps2020famecon_202306.dta,fl9,您家农副产品总值（元）,name_hint
cfps2020famecon_202306.dta,foperate_1,经营性收入,name_hint
